RID,stationing,Distance,Name,N_m_raw,E_m_raw,Elev_m_raw,N_m_proc,E_m_proc,Elev_m_pro,tile_dry_g
1.1,8.044046808,-8.77E-06,1.11,4118639.524,549433.664,608.289,4118638.639,549434.296,606.505,22.5
1.1,6.381169597,5.59E-05,1.12,4118640.605,549432.399,608.277,4118639.72,549433.031,606.493,37.25
1.1,4.747588243,2.24E-05,1.13,4118641.25,549430.773,608.221,4118640.365,549431.405,606.437,72.76
1.1,3.375653426,-3.13E-05,1.14,4118642.06,549429.654,608.099,4118641.175,549430.286,606.315,3.64
1.1,0.864066797,1.26E-05,1.15,4118643.912,549427.945,607.316,4118643.027,549428.577,605.532,285.71
1.2,11.56207585,-3.44E-05,1.21,4118580.807,549397.91,608.09,4118579.922,549398.542,606.306,0
1.2,8.522925795,1.26E-05,1.22,4118582.953,549395.742,608.077,4118582.068,549396.374,606.293,1.09
1.2,5.43811794,5.36E-05,1.23,4118585.156,549393.562,607.557,4118584.271,549394.194,605.773,30.74
1.2,3.4122227,-4.82E-06,1.24,4118586.278,549391.86,607.584,4118585.393,549392.492,605.8,6.59
1.2,1.19894615,-6.92E-06,1.25,4118587.581,549390.065,607.797,4118586.696,549390.697,606.013,198.8
1.3,13.08671437,4.14E-05,1.31,4118550.045,549355.434,607.784,4118549.16,549356.066,606,1.32
1.3,9.907448501,-2.78E-05,1.32,4118551.659,549352.633,607.76,4118550.774,549353.265,605.976,0.95
1.3,5.564484878,-1.20E-05,1.33,4118555.719,549350.385,607.143,4118554.834,549351.017,605.359,108.32
1.3,4.097440263,-3.33E-06,1.34,4118556.602,549349.21,607.295,4118555.717,549349.842,605.511,285.85
1.3,2.552289305,-8.04E-06,1.35,4118557.804,549348.204,607.496,4118556.919,549348.836,605.712,59.51
1.4,17.02010667,3.60E-05,1.41,4118439.038,549299.332,607.55,4118438.153,549299.964,605.766,3
1.4,12.35330544,-9.23E-06,1.42,4118441.484,549295.354,607.6,4118440.599,549295.986,605.816,2.6
