Tile_number,Estimated_Cover,Side_1,Side_2,Side_3,Side_4,Center,avg_h_m
1.11,60,15,17,5,7,0,0.0088
1.12,90,20,15,0,10,5,0.01
1.13,60,17,30,20,0,20,0.0174
1.14,10,2,4,0,6,1,0.0026
1.15,100,50,45,50,50,50,0.049
1.21,30,2,5,5,3,0,0.003
1.22,100,45,40,45,30,40,0.04
1.23,90,15,12,10,5,10,0.0104
1.24,15,1,0,0,0,1,0.0004
1.25,0,0,0,0,0,0,0
1.31,70,1,1,1,1,1,0.001
1.32,5,0,0,0,0,1,0.0002
1.33,100,18,20,30,23,20,0.0222
1.34,100,35,52,45,30,40,0.0404
1.35,100,12,15,14,13,14,0.0136
1.41,30,0,0,0,1,0,0.0002
1.42,50,0,0,0,0,2,0.0004
1.43,100,12,5,10,5,7,0.0078
1.44,100,10,5,13,15,10,0.0106
1.45,100,40,30,40,35,45,0.038
1.51,20,0,0,7,0,0,0.0014
1.52,75,15,0,10,20,15,0.012
1.53,100,12,15,16,17,10,0.014
1.54,100,60,30,40,60,50,0.048
1.55,100,55,40,50,54,45,0.0488
2.11,0,0,0,0,0,0,0
2.12,60,5,2,2,7,7,0.0046
2.13,5,0,0,1,0,0,0.0002
2.14,95,10,7,15,15,15,0.0124
2.15,100,50,60,21,16,23,0.034
2.21,0,0,0,0,0,0,0
2.22,97,3,4,5,10,8,0.006
2.23,10,0,0,0,0,1,0.0002
2.24,30,3,5,5,2,0,0.003
2.25,100,10,10,10,10,15,0.011
2.31,30,1,0,0,0,1,0.0004
2.32,90,2,1,1,5,2,0.0022
2.33,100,6,10,7,7,7,0.0074
2.34,10,0,5,2,0,0,0.0014
2.35,100,55,65,60,60,62,0.0604
2.41,100,2,2,4,2,4,0.0028
2.42,95,3,2,2,3,2,0.0024
2.43,40,5,1,0,1,3,0.002
2.44,100,15,13,10,20,15,0.0146
2.45,100,45,45,60,55,55,0.052
2.51,90,6,5,1,2,5,0.0038
2.52,35,0,0,1,2,1,0.0008
2.53,75,3,2,1,1,1,0.0016
2.54,90,1,1,1,1,1,0.001
2.55,100,2,10,10,4,7,0.0066
3.11,0,0,0,0,0,0,0
3.12,95,15,6,1,6,6,0.0068
3.13,100,27,15,14,30,25,0.0222
3.14,100,15,20,18,7,13,0.0146
3.15,100,15,7,20,15,20,0.0154
3.21,15,0,0,0,1,0,0.0002
3.22,20,0,0,1,0,0,0.0002
3.23,80,7,15,5,0,7,0.0068
3.24,95,16,5,8,15,14,0.0116
3.25,100,50,60,30,45,60,0.049
3.31,80,7,0,5,5,6,0.0046
3.32,50,0,0,1,2,1,0.0008
3.33,80,1,0,0,0,1,0.0004
3.34,100,3,2,10,6,10,0.0062
3.35,100,27,38,35,25,26,0.0302
3.41,100,5,10,5,5,7.5,0.0065
3.42,100,3,1,2,2,3,0.0022
3.43,60,1,0,0,1,2,0.0008
3.44,100,20,7,7,8,20,0.0124
3.45,100,9,5,20,25,23,0.0164
3.51,10,0,0,0,0,0,0
3.52,80,0,0,1,1,2,0.0008
3.53,5,0,0,0,0,0,0
3.54,90,1,1,1,1,1,0.001
3.55,100,15,10,20,10,10,0.013
